Random PDARTS,PDARTS ,Random DARTS,DARTS,Random NSGANET,NSGANET,Random ENAS,ENAS,Random CNAS,CNAS,Random MANAS,MANAS,Random StacNAS,StacNAS,Random NAO,NAO
95.184304,94.411415,94.887,96.2545,90.3,94.82,94.887,96.4923,93.222354,90.963139,96.4328,96.4923,96.6112,96.1356,91.200951,93.460167
95.778835,95.48157,96.2545,96.6706,95.95,95.42,96.2545,96.0761,92.865636,91.141498,95.8977,96.6706,97.0868,96.0166,93.995239,94.470863
94.054697,94.589774,96.3139,95.3032,91.49,94.64,96.3139,96.6112,92.211653,91.022592,94.9465,96.3734,96.7301,96.4328,93.868141,93.103447
94.887039,94.411415,96.9084,96.9084,94.47,95.69,96.9084,96.3139,93.162901,93.757432,96.3139,96.9679,95.7194,96.2545,93.103447,94.173599
94.589774,95.30321,96.0166,96.4328,95.54,94.94,96.0166,96.6112,93.816885,92.330559,96.1356,96.1356,96.6706,96.5517,94.292511,92.568367
93.935791,95.48157,95.3627,96.195,94.29,95.77,95.3627,96.1356,93.460166,89.001189,95.7194,96.9084,96.4328,96.3734,94.649223,95.005943
94.827586,95.659929,96.9679,96.5517,95.48,96.07,96.9679,97.0868,93.876338,87.931034,95.9572,96.0761,95.8977,96.4754,95.303207,92.687279
95.541023,95.362663,96.1356,96.0761,93.87,95.06,96.1356,97.1463,94.233056,92.1522,95.8383,96.9679,96.6112,96.2578,94.233055,94.173599
