Random DARTS,DARTS,Random PDARTS,PDARTS,Random NSGANET,NSGANET,Random ENAS,ENAS,Random CNAS,CNAS,Random MANAS,MANAS,Random StacNAS,StacNAS,Random NAO,NAO
71.3606,69.648,68.886774,70.980019,68.252458,69.394228,71.0752,71.424,69.933397,69.108785,70.314,71.04,71.3606,70.7263,64.763718,65.461464
70.3457,71.3289,69.965113,70.980019,70.187123,70.409134,69.87,71.7412,68.506185,69.362512,69.8065,71.52,70.9483,69.5845,66.508087,65.620049
69.87,71.0435,69.584523,70.884871,71.075167,71.233746,70.9483,70.7263,71.741199,69.330796,70.5043,71.77,71.7729,72.1218,66.159218,64.192833
71.0752,70.7897,70.535997,70.916587,69.077069,70.091976,69.87,70.8214,69.045354,70.472566,70.2506,71.39,71.6143,72.0901,67.142403,64.192833
71.424,70.6946,70.599429,71.392325,67.713289,68.728195,71.1069,70.4091,71.233746,69.425944,69.9017,71.74,70.3457,71.5509,66.159218,63.336506
69.2039,70.7897,69.774818,69.996828,67.332699,70.06026,71.4558,71.9315,69.774818,68.411037,70.758,71.23,70.536,71.0752,66.95211,64.129402
70.98,70.758,69.108785,70.789724,68.189026,70.82144,71.3606,70.536,69.235649,69.869965,70.1237,71.52,71.1703,70.6629,66.127495,65.683479
71.0117,70.758,70.472566,69.647954,68.728195,70.853156,71.9632,70.8214,69.67967,69.489375,70.8849,70.66,70.98,71.202,65.017441,68.125595
