Random DARTS,DARTS,Random PDARTS,PDARTS,Random NSGANET,NSGANET,Random ENAS,ENAS,Random CNAS,CNAS,Random MANAS,MANAS-LS,Random StacNAS,StacNAS,Random NAO,NAO
97.05,97.47,96.45,97.14,97.07,95.61,95.78,95.64,93.81,94.79,96.77,97.07,97.12,97.35,97.009995,96.889999
96.85,97.15,96.69,96.89,96.78,96.29,95.64,96.1,95.21,94.15,96.83,97.1,97.07,97.4,92.769997,96.939995
96.57,97.41,96.7,96.99,96.49,95.39,96.08,95.18,89.56,94.6,96.91,97.48,97.3,97.35,96.759995,96.970001
97.09,97.05,96.89,97.26,97.04,95.67,95.12,95.84,94.32,93.05,97.09,97.18,97.24,97.44,97.239998,96.790001
96.76,96.93,96.9,97.23,97.08,95.52,96.05,96.32,94.43,95.09,97.28,97.06,97,97.24,97.229996,96.82
97.1,97.13,96.65,97.22,95.8,96.67,95.99,95.95,94.87,94.93,97.05,97.14,97,97.59,96.970001,96.829994
96.94,97.4,95.96,97.07,96.28,97.18,96.09,95.86,94.25,94.66,96.99,97.12,96.21,97.29,96.939995,96.939995
97.02,97.34,96.73,97.2,96.6,97.11,96,95.94,94.11,94.82,97.17,97.31,96.87,97.47,96.769997,96.869995
