Random DARTS,DARTS,Random PDARTS,PDARTS,Random NSGANET,NSGANET,Random ENAS,ENAS,Random CNAS,CNAS,Random MANAS,MANAS,Random StacNAS,StacNAS,Random NAO,NAO
82.19,82.27,81.7,83,73.92,78.14,81.27,77.3,76.1,77.27,82.27,81.76,80.31,,80.860001,80.540001
82.95,81.15,80.44,83.13,78.19,74.65,81.15,78.05,74.37,75.91,81.65,82.12,81.78,,82.229996,81.369995
82.04,83.24,79.43,82.55,74.79,76.22,80.1,77.6,76.38,76.91,82.44,81.95,83.48,,82.419998,81.869995
81.41,82.97,81.15,82.63,75.45,78.36,81.06,79.03,76.22,71.05,81.92,82.38,80.06,,82.650002,82.009995
81.77,81.7,80.1,80.98,77.62,79.41,80.78,76.07,77.15,76.02,82.48,82.21,81.59,,81.129997,81.619995
82.1,82.66,81.35,81.93,73.53,76.89,81.14,79.75,73.7,74.54,82.55,82.42,79.96,,82.279999,81.639999
82.17,82.42,80.78,82.29,78.69,77.56,78.74,78.05,80.21,76.01,82.9,81.61,82.06,,80.829994,81.900002
82.82,82.55,81.78,83.14,77.96,77.26,82.13,78.29,76.61,77.57,81.68,82.12,80.84,,81.199997,82.599998
