Base,Auxiliary,DropPath ,Cutout,CD,CDA,CDA 50 Channels,CDA AutoAugment,CDAAA 1500 Epochs,CDAAA1500E50C
95.14,95.35,96.14,96.68,97.06,97.15,97.32,97.57,97.82,98.05
94.88,94.96,95.76,96.22,96.69,96.93,97.16,97.2,97.58,97.79
94.67,94.43,95.81,96.04,96.44,96.77,97.08,96.8,97.39,97.45
94.55,95.25,95.73,96.32,96.99,97.16,97.21,97.39,97.69,97.95
94.86,94.77,95.52,96.27,96.73,96.66,97.07,97.12,97.36,97.71
94.82,95,96.07,96.39,96.75,97.04,97.31,97.6,97.76,97.95
95.23,95.16,96.02,96.54,96.91,97.11,97.34,97.16,97.57,97.92
95.5,95.37,96.42,96.67,97.19,97.17,97.4,97.63,98.01,98.15
