Random DARTS,DARTS,Random PDARTS,PDARTS,Random NSGANET,NSGANET,Random ENAS,ENAS,Random CNAS,CNAS,Random MANAS,MANAS,Random StacNAS,StacNAS,Random NAO,NAO
93.3962,93.7107,91.8239,91.194968,92.138365,91.823899,93.7107,94.6541,89.622642,88.050315,94.34,94.3396,95.283,93.7107,88.364777,88.050308
95.283,93.0818,91.823899,90.566038,93.081761,92.45283,93.7107,94.0252,89.622642,91.509434,93.71,94.9686,94.3396,95.5975,88.679245,82.07547
94.6541,94.6541,92.138365,91.823899,92.138365,93.710692,93.0818,94.6541,90.566038,88.993711,94.34,94.0252,93.7107,94.3396,86.477982,84.905655
93.7107,94.3396,91.823899,93.396226,92.45283,92.45283,95.283,95.283,84.591195,88.364779,94.65,94.3396,93.0818,94.0252,87.421379,84.591194
93.7107,94.6541,91.194969,92.138365,92.767296,93.081761,93.3962,94.9686,91.194969,88.993711,95.65,94.0252,94.9686,94.0252,87.735847,88.050308
94.3396,94.0252,92.45283,92.45283,91.823899,92.45283,94.0252,93.0818,90.251573,85.534592,94.03,95.283,93.7107,94.0252,88.679245,87.106918
93.0818,92.7673,91.509434,94.654088,90.566038,91.509434,93.7107,94.9686,89.308177,90.880504,93.08,94.3396,93.7107,94.9686,89.937103,87.106918
93.7107,93.7107,93.081761,93.396226,92.138365,92.767296,94.3396,94.6541,88.679246,83.962264,93.4,94.3396,94.3396,95.283,87.106918,88.050308
